name,rating,benefits,categories,key_points,description
Acacia Seyal Gum Extract,Not Rated,,,,Functions: Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Seyal Gum Octenylsuccinate,Not Rated,,,,Functions: Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Victoriae Fruit Extract,Not Rated,,,,"Functions: Antioxidant, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Victoriae Seed Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Victoriae Seed Oil,Not Rated,,,,"Functions: Antioxidant, Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acalypha Reptans Callus Culture Extract,Not Rated,,,,"Functions: Antioxidant, Hair Conditioning, Humectant, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
A-Camphorene,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Koreanum Adventitious Root Culture Extract,Not Rated,,,,"Functions: Antioxidant, Hair Conditioning, Humectant, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Koreanum Bark Extract,Not Rated,,,,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Koreanum Branch/Leaf Extract,Not Rated,,,,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Koreanum Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Koreanum Fruit Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Koreanum Oil,Not Rated,,,,"Functions: Antioxidant, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Koreanum Root Extract,Not Rated,,,,"Functions: Humectant, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Senticosus Callus Culture Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Senticosus Extract,Not Rated,,,,"Functions: Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Senticosus Root,Not Rated,,,,Functions: Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Senticosus Root Extract,Not Rated,,,,"Functions: Skin Conditioning, Soothing. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Senticosus Root Water,Not Rated,,,,"Functions: Antimicrobial, Antioxidant, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Senticosus Stem Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Sessiliflorus Bark Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Sessiliflorus Callus Extract,Not Rated,,,,"Functions: Antimicrobial, Hair Conditioning, Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthopanax Sessiliflorus Root Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthopanax Sessiliflorus Stem Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acanthosicyos Horridus Seed Oil,Not Rated,,,,"Functions: Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acanthus Mollis Leaf Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acca Sellowiana Fruit Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acefylline Methylsilanol Mannuronate,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Campestre Bud Extract,Not Rated,,,,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Mono Sap,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Nikoense Bark Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Nikoense Branch/Stem Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Palmatum Leaf Extract,Not Rated,,,,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Pseudoplatanus Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Rubrum Bark Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Rubrum Bark Powder,Not Rated,,,,Functions: Abrasive. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Rubrum Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Rubrum Leaf Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acer Rubrum Wood Extract,Not Rated,,,,"Functions: Antioxidant, Binding, Emulsion Stabilizer. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acer Saccharum Sap,Not Rated,,,,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acer Saccharum Sap Extract,Not Rated,,,,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acer Tegmentosum Stem Extract,Not Rated,,,,"Functions: Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acetaldehyde,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Diethyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Diphenethyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Dipropyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Ethyl Cis-3-Hexenyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Ethyl Hexenyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Ethyl Hexyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Ethyl Isoeugenyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Ethyl Linalyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetaldehyde Phenethyl Propyl Acetal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetamide Mea,Not Rated,,,,"Functions: Hair Conditioning, Humectant, Skin Conditioning, Cleansing Agent, Surfactant - Foam Boosting, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acetamidoamodimethicone,Not Rated,,,,Functions: Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetamidocaproic Acid,Not Rated,,,,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acetamidoethoxybutyl Trimonium Chloride,Not Rated,,,,"Functions: Antistatic, Hair Conditioning, Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
